imdb_id,title,wiki
tt0081573,Superman II,https://en.wikipedia.org/?curid=1059280
tt0086393,Superman III,https://en.wikipedia.org/?curid=1059701
tt0094074,Superman IV: The Quest for Peace,https://en.wikipedia.org/?curid=407628
tt0348150,Superman Returns,https://en.wikipedia.org/?curid=1082656
tt0146336,Urban Legend,https://en.wikipedia.org/?curid=935847
tt0192731,Urban Legends: Final Cut,https://en.wikipedia.org/?curid=1688593
tt0096895,Batman,https://en.wikipedia.org/?curid=4726
tt0103776,Batman Returns,https://en.wikipedia.org/?curid=4728
tt0112462,Batman Forever,https://en.wikipedia.org/?curid=4730
tt0118688,Batman & Robin,https://en.wikipedia.org/?curid=4335
tt0372784,Batman Begins,https://en.wikipedia.org/?curid=481605
tt0468569,The Dark Knight,https://en.wikipedia.org/?curid=4276475
tt1345836,The Dark Knight Rises,https://en.wikipedia.org/?curid=29075630
tt0167190,Hellboy,https://en.wikipedia.org/?curid=5292920
tt0411477,Hellboy II: The Golden Army,https://en.wikipedia.org/?curid=5292154
tt0120611,Blade,https://en.wikipedia.org/?curid=471544
tt0187738,Blade II,https://en.wikipedia.org/?curid=479757
tt0359013,Blade: Trinity,https://en.wikipedia.org/?curid=1129583
tt0287978,Daredevil,https://en.wikipedia.org/?curid=1129847
tt0357277,Elektra,https://en.wikipedia.org/?curid=1131021
tt0119654,Men in Black,https://en.wikipedia.org/?curid=167599
tt0120912,Men in Black II,https://en.wikipedia.org/?curid=673599
tt1409024,Men in Black 3,https://en.wikipedia.org/?curid=13049327
tt0120804,Resident Evil,https://en.wikipedia.org/?curid=1033297
tt0318627,Resident Evil: Apocalypse,https://en.wikipedia.org/?curid=797798
tt0432021,Resident Evil: Extinction,https://en.wikipedia.org/?curid=2271177
tt1220634,Resident Evil: Afterlife,https://en.wikipedia.org/?curid=15332396
tt1855325,Resident Evil: Retribution,https://en.wikipedia.org/?curid=31841233
tt0227538,Spy Kids,https://en.wikipedia.org/?curid=11762841
tt0287717,Spy Kids 2: Island of Lost Dreams,https://en.wikipedia.org/?curid=33577424
tt0338459,Spy Kids 3: Game Over,https://en.wikipedia.org/?curid=194693
tt1517489,Spy Kids: All the Time in the World in 4D,https://en.wikipedia.org/?curid=29384326
tt0119345,I Know What You Did Last Summer,https://en.wikipedia.org/?curid=255049
tt0130018,I Still Know What You Did Last Summer,https://en.wikipedia.org/?curid=657797
tt0356634,Garfield,https://en.wikipedia.org/?curid=348449
tt0455499,Garfield: A Tail of Two Kitties,https://en.wikipedia.org/?curid=3251133
tt0371746,Iron Man,https://en.wikipedia.org/?curid=5676692
tt1228705,Iron Man 2,https://en.wikipedia.org/?curid=22144721
tt1300854,Iron Man Three,https://en.wikipedia.org/?curid=22144990
tt0126029,Shrek,https://en.wikipedia.org/?curid=18717177
tt0298148,Shrek 2,https://en.wikipedia.org/?curid=525314
tt0413267,Shrek the Third,https://en.wikipedia.org/?curid=903383
tt0892791,Shrek Forever After,https://en.wikipedia.org/?curid=27193568
tt1216516,Tinker Bell and the Lost Treasure,https://en.wikipedia.org/?curid=24785258
tt1217213,Secret of the Wings,https://en.wikipedia.org/?curid=28195052
tt0107290,Jurassic Park,https://en.wikipedia.org/?curid=68485
tt0119567,The Lost World: Jurassic Park,https://en.wikipedia.org/?curid=666923
tt0163025,Jurassic Park III,https://en.wikipedia.org/?curid=473273
tt0369610,Jurassic World,https://en.wikipedia.org/?curid=2615708
